City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,magadan,59.5667,150.8,0.85,94,100,5.91,RU,1698816202
1,anuradhapura,8.3565,80.4173,29.48,69,97,1.98,LK,1698816202
2,cabo san lucas,22.8909,-109.9124,26.53,73,9,1.97,MX,1698816029
3,bredasdorp,-34.5322,20.0403,16.7,77,97,6.83,ZA,1698816203
4,vorgashor,67.5833,63.95,-10.82,96,100,2.12,RU,1698816203
5,puerto natales,-51.7236,-72.4875,0.66,90,20,1.85,CL,1698816204
6,port-aux-francais,-49.35,70.2167,4.0,95,100,10.69,TF,1698816205
7,gargalianoi,37.0667,21.6333,18.53,83,78,1.82,GR,1698816205
8,blackmans bay,-43.0167,147.3167,17.63,61,8,0.45,AU,1698816206
9,lubango,-14.9172,13.4925,12.92,67,8,1.03,AO,1698816206
10,grytviken,-54.2811,-36.5092,0.34,79,82,2.36,GS,1698816207
11,kijang,35.2442,129.2139,21.85,52,0,6.18,KR,1698816207
12,paita,-5.0892,-81.1144,19.83,85,64,5.13,PE,1698816208
13,waitangi,-43.9535,-176.5597,13.79,96,100,5.81,NZ,1698816209
14,west island,-12.1568,96.8225,27.99,74,87,7.72,CC,1698816209
15,fort bragg,35.139,-79.006,8.08,91,100,2.06,US,1698816210
16,strelka,58.0728,93.0344,-7.22,39,0,3.54,RU,1698816210
17,matoury,4.8483,-52.3317,26.98,89,40,0.0,GF,1698816211
18,iqaluit,63.7506,-68.5145,-7.15,86,100,14.92,CA,1698816211
19,lappeenranta,61.0587,28.1887,2.03,93,100,6.69,FI,1698816212
20,andergrove,-21.0833,149.1833,31.47,60,61,6.15,AU,1698816212
21,georgetown,5.4112,100.3354,27.96,86,20,4.63,MY,1698816099
22,albany,42.6001,-73.9662,3.71,78,92,0.18,US,1698816213
23,sinop,41.7711,34.8709,17.54,54,99,3.97,TR,1698816214
24,umba,66.6871,34.3429,-5.31,92,27,1.26,RU,1698816214
25,adamstown,-25.066,-130.1015,22.41,73,3,3.92,PN,1698816214
26,invercargill,-46.4,168.35,11.68,91,99,2.68,NZ,1698816215
27,molde,62.7375,7.1591,0.91,55,0,6.17,NO,1698816215
28,stanley,54.868,-1.6985,8.07,96,100,5.14,GB,1698816216
29,springbok,-29.6643,17.8865,18.15,49,50,10.36,ZA,1698816216
30,tabou,4.423,-7.3528,24.74,88,86,1.77,CI,1698816217
31,bethel,41.3712,-73.414,7.34,71,100,1.54,US,1698816217
32,rio claro,-22.4114,-47.5614,22.44,50,97,1.23,BR,1698816218
33,avarua,-21.2078,-159.775,23.03,78,40,7.72,CK,1698816219
34,alice springs,-23.7,133.8833,34.75,10,9,8.23,AU,1698815959
35,mirny,62.5353,113.9611,-18.97,87,74,1.54,RU,1698816219
36,new norfolk,-42.7826,147.0587,18.29,32,7,3.21,AU,1698816220
37,ancud,-41.8697,-73.8203,6.23,78,45,3.06,CL,1698816220
38,saipan,15.1355,145.701,31.39,70,40,6.17,MP,1698816221
39,tarui,35.3667,136.5333,22.02,37,0,1.99,JP,1698816221
40,margaret river,-33.95,115.0667,21.49,53,1,7.1,AU,1698816222
41,puerto baquerizo moreno,-0.9,-89.6,23.03,78,61,3.48,EC,1698816165
42,asau,46.4333,26.4,10.71,79,100,1.85,RO,1698816222
43,acara,-1.9608,-48.1967,24.52,87,3,1.87,BR,1698816223
44,prince rupert,54.3161,-130.3201,7.83,75,100,1.54,CA,1698816223
45,kavieng,-2.5744,150.7967,28.8,71,35,2.76,PG,1698816224
46,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,63,75,1.0,RU,1698816224
47,udachny,66.4167,112.4,-21.47,95,97,2.06,RU,1698816225
48,bani walid,31.7566,13.9942,20.35,34,57,2.14,LY,1698816225
49,mitsamiouli,-11.3847,43.2844,27.36,76,38,5.22,KM,1698816226
50,touros,-5.1989,-35.4608,24.71,82,6,3.99,BR,1698816008
51,port elizabeth,-33.918,25.5701,16.84,86,75,3.09,ZA,1698816226
52,ust-nera,64.5667,143.2,-11.71,96,100,1.64,RU,1698816227
